Запрос,Город запроса,Название,VK,Подписчиков,Тип,Закрытая
фурсьют на заказ,Казань,Кот Крафт / CatCraft,https://vk.com/catcraft,,group,нет
фурсьют на заказ,Казань,Все для фурсьюта,https://vk.com/club211021956,,group,нет
фурсьют на заказ,Казань,☭||Fursuit studio DeltScar ||☭,https://vk.com/deltscar6745,,group,нет
фурсьют на заказ,Казань,"Прыжки с веревкой! RopeJumping! Туризм, походы в",https://vk.com/kge_tour_plus,,group,нет
фурсьют на заказ,Нижний Новгород,Ростовые куклы «Фабрика Карнавала»,https://vk.com/karnavalnn,,group,нет
фурсьют на заказ,Нижний Новгород,Художник Кэмь,https://vk.com/fyrri_ka,,group,нет
фурсьют на заказ,Ростов-на-Дону,КСФ: техническая группа,https://vk.com/club192404889,,group,нет
фурсьют на заказ,Ростов-на-Дону,Шерсть в радость,https://vk.com/sherstvradost,,group,нет
фурсьют на заказ,Самара,Мастерская _-Ф&П-_,https://vk.com/club201895870,,group,нет
фурсьют на заказ,Самара,Hedgie's Home,https://vk.com/hedgieshome,,group,нет
фурсьют на заказ,Самара,Fursiuts!,https://vk.com/fursiuts,,group,нет
фурсьют на заказ,Самара,Powerlifting IPF™ Samara,https://vk.com/club12474413,,group,да
фурсьют на заказ,Челябинск,Хата снежного лиса,https://vk.com/club154081991,,group,нет
фурсьют на заказ,Челябинск,MeowNeon | Фурсьют мастерская Мяу Неон,https://vk.com/meowneonfurry,,group,нет
фурсьют на заказ,Челябинск,Рыжая рысьца,https://vk.com/club230425320,,group,нет
фурсьют на заказ,Челябинск,Грезы Илайна (18+),https://vk.com/club176598504,,group,да
фурсьют на заказ,Пермь,✦ tereetta fursuits ✦,https://vk.com/tereetta_fursuits,,group,нет
фурсьют на заказ,Красноярск,Дневники  Самиры (Читать описание внимательно),https://vk.com/club68475312,,group,да
фурсьют на заказ,Краснодар,milver! milver!,https://vk.com/mlvrmlvr,,group,нет
фурсьют на заказ,Краснодар,FurrHouse | фурсьют мастерская,https://vk.com/furr_house,,group,нет
фурсьют на заказ,Краснодар,Диш Лучик. Автостопом по мирам. 18+,https://vk.com/dish_lychik_art,,group,нет
фурсьют на заказ,Краснодар,Средняя Общеобразовательная Школа №84,https://vk.com/school84_krd,,group,нет
фурсьют на заказ,Краснодар,VIP-RACING ® | Краснодар.,https://vk.com/vip.racing,,group,нет
фурсьют на заказ,Краснодар,Скутербарахолка Краснодара,https://vk.com/scooterbaryiga,,group,да
фурсьют на заказ,Краснодар,Школа музыки | Краснодар | Красный Металлург,https://vk.com/red_metallurg_krd,,group,нет
фурсьют на заказ,Краснодар,История Краснодара / Ретро Краснодар,https://vk.com/retrokuban,,group,нет
фурсьют на заказ,Краснодар,Молодежный центр развития личности Кубани (МЦРЛ),https://vk.com/mcrl_kuban,,group,нет
фурсьют на заказ,Краснодар,Управление по делам молодёжи Краснодара,https://vk.com/udm_krd,,group,нет
фурсьют на заказ,Краснодар,Твой Ход | Краснодарский Край,https://vk.com/tvoyhod23,,group,нет
фурсьют на заказ,Краснодар,"Краснодар! Продажа б/у телефонов,запчастей,аксессуаров!",https://vk.com/club31474501,,group,нет
фурсьют на заказ,Краснодар,TR | Резиденция | Настольные игры | Антикафе Крд,https://vk.com/tabletop_residence,,group,нет
фурсьют на заказ,Краснодар,Приют для пострадавших животных «КРАСНОДОГ»,https://vk.com/krasnodog_priut,,group,нет
фурсьют на заказ,Краснодар,Отдам Даром Краснодар,https://vk.com/darom_v_krasnodare,,group,нет
фурсьют на заказ,Краснодар,Мегацентр «Красная Площадь»,https://vk.com/red_square_krd,,group,нет
фурсьют на заказ,Краснодар,Додо Пицца Краснодар | Академия Пиццы,https://vk.com/dodokrasnodar,,group,нет
фурсьют на заказ,Краснодар,Ремонт квартир Краснодар | Кухни на заказ,https://vk.com/remont_i_kuhni_krd,,group,нет
фурсьют на заказ,Краснодар,СНО и СМУС КубГТУ | Научное собщество,https://vk.com/sno_kubstu,,group,нет
фурсьют на заказ,Краснодар,ПАНИКА - сеть развлечений,https://vk.com/panika_org_23,,group,нет
фурсьют на заказ,Краснодар,"ГРИМЕР, КРАСНОДАР. ГРИМ И БУТАФОРИЯ КРАСНОДАРЕ",https://vk.com/fxmakeup,,group,нет
фурсьют на заказ,Краснодар,БАЗА_танцевальное пространство,https://vk.com/baza_zavodzip,,group,нет
фурсьют на заказ,Краснодар,"Поисковый отряд ""ЛизаАлерт"" Краснодарского края",https://vk.com/lizaalert_krasnodarskij_kraj,,group,нет
фурсьют на заказ,Краснодар,Flamencia - ФЛАМЕНКО КРАСНОДАР,https://vk.com/flamenco,,group,нет
фурсьют на заказ,Краснодар,Суши Мастер Краснодар,https://vk.com/sushi_m_krasnodar,,group,нет
фурсьют на заказ,Краснодар,Не Школа Барабанов Краснодар,https://vk.com/kdr_neshkola_barabanov,,group,нет
фурсьют на заказ,Краснодар,Центр рекламных решений,https://vk.com/s__reklama,,group,нет
фурсьют на заказ,Краснодар,Волшебный мир забытых сказок с Alizbar,https://vk.com/alizbar_warm_travel,,group,нет
фурсьют на заказ,Краснодар,PiroProfi - Портреты на заказ,https://vk.com/piroprofi,,group,нет
фурсьют на заказ,Краснодар,ТОРТЫ | ДЕСЕРТЫ на заказ Краснодар | sunya_cakes,https://vk.com/sunya_cakes,,group,нет
фурсьют на заказ,Краснодар,Педагогический Отряд «Прайд» | КубГТУ,https://vk.com/spoprayd,,group,нет
фурсьют на заказ,Краснодар,Кроликовая мастерская,https://vk.com/club133320983,,group,нет
фурсьют на заказ,Краснодар,Ангельская Баня на дровах,https://vk.com/angelbanya,,group,нет
фурсьют на заказ,Краснодар,"Доставка пиццы  ""Пицца-тайм""",https://vk.com/club_pizza_time323dinskaya,,group,нет
фурсьют на заказ,Краснодар,Рок магазин Медведь Краснодар,https://vk.com/medvedkrd,,group,нет
фурсьют на заказ,Краснодар,ALEX FITNESS Краснодар,https://vk.com/alexfitness_krd,,group,нет
фурсьют на заказ,Краснодар,Пост № 1 г.Краснодар,https://vk.com/club62048843,,group,нет
фурсьют на заказ,Краснодар,Подслушано школа №42 Краснодар,https://vk.com/podslushano42lovelovelove,,group,да
фурсьют на заказ,Краснодар,Starry sky•°,https://vk.com/sta.rry_sky,,group,нет
фурсьют на заказ,Краснодар,Stushape,https://vk.com/club234612128,,group,нет
фурсьют на заказ,Краснодар,Фотограф Виктория Захарова [Краснодар],https://vk.com/ph.vikvikaz,,group,нет
фурсьют на заказ,Краснодар,Industrial Abandoned Places/ Заброшки ЮФО,https://vk.com/industrialabandonedpaces,,group,нет
фурсьют на заказ,Краснодар,Easy English,https://vk.com/club131532300,,group,нет
фурсьют на заказ,Краснодар,Метро квест в нереальности Краснодар,https://vk.com/metro_kvest_krasnodar,,group,нет
фурсьют на заказ,Краснодар,Мастер Краснодара,https://vk.com/service_krasnodar,,group,нет
фурсьют на заказ,Краснодар,Лаборатория сюрпризов | Подарки Краснодар,https://vk.com/suplab,,group,нет
фурсьют на заказ,Краснодар,ЭКСПРЕСС-рулит!!!(г.Краснодар.),https://vk.com/club2966076,,group,нет
фурсьют на заказ,Краснодар,5 лучших мест,https://vk.com/5bestplaces,,group,нет
фурсьют на заказ,Краснодар,NoRhyme,https://vk.com/norhyme,,group,нет
фурсьют на заказ,Краснодар,GOODS,https://vk.com/club67881247,,group,нет
фурсьют на заказ,Краснодар,КИГУРУМИ Краснодар,https://vk.com/kigurumi_krasnodar,,group,нет
фурсьют на заказ,Краснодар,Резные свечи в Краснодаре,https://vk.com/svechikrd,,group,нет
фурсьют на заказ,Краснодар,ТРАДИЦИИ СКВОЗЬ ВЕКА | МОЛОДЕЖНЫЙ КЛУБ,https://vk.com/tiradic_ages,,group,нет
фурсьют на заказ,Краснодар,ТАКИЕ РАЗНЫЕ САКАДЫ,https://vk.com/club53730732,,group,да
фурсьют на заказ,Краснодар,"Браслеты, серьги, бусики",https://vk.com/brasleti_kr,,group,нет
фурсьют на заказ,Краснодар,Клевер,https://vk.com/rutaxi_krd,,group,да
фурсьют на заказ,Краснодар,Аргентинское танго. Серия тематических классов.,https://vk.com/club42049099,,group,нет
фурсьют на заказ,Краснодар,Цветной дым (дымовой факел) Краснодар,https://vk.com/dimkrd,,group,нет
фурсьют на заказ,Краснодар,"Женские техники от Мастерской танца ""Angels""",https://vk.com/club77874512,,group,нет
фурсьют на заказ,Краснодар,Практическая интуиция и логика – в играх,https://vk.com/club89466029,,group,нет
фурсьют на заказ,Краснодар,Аниматоры Краснодар Mr. & Mrs. Праздник,https://vk.com/mr.smrs.prazdnik,,group,нет
фурсьют на заказ,Краснодар,Прически на любой случай!,https://vk.com/hair_do.make_up,,group,нет
фурсьют на заказ,Краснодар,"JoyCraft  альбомы, блокноты",https://vk.com/joycrafts,,group,нет
фурсьют на заказ,Краснодар,Доставка цветов • Краснодар • Вип букет,https://vk.com/vip.buket,,group,нет
фурсьют на заказ,Краснодар,Федерация Бокса Краснодарского края.,https://vk.com/federacyaboksakr,,group,нет
фурсьют на заказ,Краснодар,Испанский язык в Краснодаре,https://vk.com/club1723103,,group,нет
